date,act360_years,true_discount_factor,recovered_discount_factor,df_error
2038-12-17,12.425,0.4173272216712971,0.4172775466298468,-4.967504145031443e-05
2038-12-24,12.444444444444445,0.4167284942535462,0.41667965353727543,-4.8840716270759366e-05
2038-12-31,12.463888888888889,0.41613060872862917,0.4160826171314658,-4.799159716334378e-05
2039-01-07,12.483333333333333,0.41553356425260163,0.4154864361849204,-4.712806768120137e-05
2039-01-14,12.502777777777778,0.4149373599795724,0.4148911094719007,-4.62505076716524e-05
2039-01-21,12.522222222222222,0.4143419950617245,0.4142966357684245,-4.5359293299962467e-05
2039-01-28,12.541666666666666,0.4137474686493362,0.4137030138522632,-4.445479707299027e-05
2039-02-04,12.561111111111112,0.41315377989080165,0.41311024250293965,-4.3537387862002674e-05
2039-02-11,12.580555555555556,0.41256092793265275,0.4125183205017252,-4.260743092754371e-05
2039-02-18,12.6,0.4119689119195783,0.4119272466316377,-4.166528794058433e-05
2039-02-25,12.619444444444444,0.4113777309944459,0.41133701967743863,-4.071131700728037e-05
2039-03-04,12.63888888888889,0.41078738429832196,0.4107476384256307,-3.974587269123253e-05
2039-03-11,12.658333333333333,0.4101978709704924,0.41015910166445546,-3.876930603691209e-05
2039-03-18,12.677777777777777,0.409609190148483,0.40957140818389065,-3.7781964592364936e-05
2039-03-25,12.697222222222223,0.40902134096807946,0.40898455677564766,-3.678419243180464e-05
2039-04-01,12.716666666666667,0.408434322563348,0.40839854623316957,-3.577633017842752e-05
2039-04-08,12.73611111111111,0.4078481340666552,0.40781337535162776,-3.475871502744976e-05
2039-04-15,12.755555555555556,0.40726277460868787,0.40722904292792017,-3.373168076770128e-05
2039-04-22,12.775,0.4066782433184739,0.40664554776066875,-3.269555780516242e-05
2039-04-29,12.794444444444444,0.4060945393234006,0.4060628886502166,-3.165067318400272e-05
2039-05-06,12.813888888888888,0.4055116617492361,0.40548106439862586,-3.059735061022861e-05
2039-05-13,12.833333333333334,0.4049296097201476,0.4049000738096751,-2.953591047250015e-05
2039-05-20,12.852777777777778,0.4043483823587221,0.4043199156888568,-2.8466669865334637e-05
2039-05-27,12.872222222222222,0.40376797878598525,0.4037405888433751,-2.738994261014538e-05
2039-06-03,12.891666666666667,0.40318839812142054,0.4031620920821432,-2.6306039277335103e-05
2039-06-10,12.911111111111111,0.4026096394829897,0.40258442421578094,-2.521526720877798e-05
2039-06-17,12.930555555555555,0.40203170198715055,0.4020075840566124,-2.411793053813671e-05
2039-06-24,12.95,0.4014545847488772,0.4014315704186633,-2.3014330213899648e-05
2039-07-01,12.969444444444445,0.4008782868816785,0.4008563821176586,-2.190476401986441e-05
2039-07-08,12.988888888888889,0.4003028074976173,0.4002820179710206,-2.0789526596731722e-05
2039-07-15,13.008333333333333,0.3997281457073292,0.39970847679786536,-1.966890946381028e-05
2039-07-22,13.027777777777779,0.3991543006200412,0.39913575741900154,-1.854320103966689e-05
2039-07-29,13.047222222222222,0.39858127134359106,0.3985638586569271,-1.7412686663942356e-05
2039-08-05,13.066666666666666,0.3980090569844447,0.39799277933582733,-1.6277648617391005e-05
2039-08-12,13.08611111111111,0.39743765664771574,0.3974225182815721,-1.5138366143641058e-05
2039-08-19,13.105555555555556,0.3968670694371836,0.3968530743217138,-1.3995115469789265e-05
2039-08-26,13.125,0.3962972944553116,0.3962844462854846,-1.2848169826995548e-05
2039-09-02,13.144444444444444,0.3957283308032655,0.39571663300379434,-1.1697799471188652e-05
2039-09-09,13.16388888888889,0.3951601775809318,0.39514963330922787,-1.0544271703938346e-05
2039-09-16,13.183333333333334,0.39459283388693517,0.39458344603604284,-9.387850892328409e-06
2039-09-23,13.202777777777778,0.3940262988186569,0.3940180700201672,-8.228798489717803e-06
2039-09-30,13.222222222222221,0.3934605714722528,0.3934535040991968,-7.067373055946735e-06
2039-10-07,13.241666666666667,0.39289565094267054,0.392889747112393,-5.90383027754271e-06
2039-10-14,13.261111111111111,0.39233153632366835,0.3923267979006805,-4.738422987871083e-06
2039-10-21,13.280555555555555,0.39176822670783124,0.3917646553066445,-3.571401186730494e-06
2039-10-28,13.3,0.39120572118658964,0.3912033181745289,-2.4030120607254624e-06
2039-11-04,13.319444444444445,0.3906440188502363,0.39064278535023333,-1.2335000029728427e-06
2039-11-11,13.338888888888889,0.3900831187879439,0.3900830556813113,-6.310663258624061e-08
2039-11-18,13.358333333333333,0.38952302008778195,0.38952412801696734,1.1079291853954842e-06
2039-11-25,13.377777777777778,0.38896372183673444,0.38896600120805513,2.2793713206903377e-06
2039-12-02,13.397222222222222,0.3884052231207164,0.38840867410707486,3.45098635845531e-06
2039-12-09,13.416666666666666,0.3878475230245914,0.38785214556817066,4.622543579246852e-06
2039-12-16,13.436111111111112,0.38729062063218783,0.3872964144471288,5.793814940979747e-06
2039-12-23,13.455555555555556,0.3867345150263164,0.38674147960137495,6.964575058554523e-06
2039-12-30,13.475,0.38617920528878646,0.3861873398899718,8.134601185316725e-06
2040-01-06,13.494444444444444,0.38562469050042236,0.3856339941736169,9.303673194516193e-06
2040-01-13,13.51388888888889,0.38507096974108074,0.38508144131464006,1.0471573559323044e-05
2040-01-20,13.533333333333333,0.38451804208966633,0.3845296801770017,1.1638087335341663e-05
2040-01-27,13.552777777777777,0.38396590662414876,0.38397870962628944,1.2803002140682196e-05
2040-02-03,13.572222222222223,0.3834145624215781,0.38342852852971665,1.3966108138530053e-05
2040-02-10,13.591666666666667,0.3828640085581024,0.38287913575611965,1.5127198017272914e-05
2040-02-17,13.61111111111111,0.3823142441089821,0.38233053017595564,1.6286066973514313e-05
2040-02-24,13.630555555555556,0.3817652681486075,0.38178271066130026,1.7442512692755763e-05
2040-03-02,13.65,0.3812170797505137,0.38123567608584524,1.8596335331522162e-05
2040-03-09,13.669444444444444,0.3806696779873972,0.38068942532489625,1.9747337499043116e-05
2040-03-16,13.688888888888888,0.38012306193113093,0.3801439572553703,2.0895324239378343e-05
2040-03-23,13.708333333333334,0.3795772306527803,0.37959927075579364,2.2040103013321044e-05
2040-03-30,13.727777777777778,0.37903218322261895,0.3790553647062996,2.318148368063433e-05
2040-04-06,13.747222222222222,0.37848791871014364,0.37851223798862593,2.4319278482287654e-05
2040-04-13,13.766666666666667,0.37794443618409035,0.37796988948611254,2.5453302022193647e-05
2040-04-20,13.786111111111111,0.3774017347124492,0.3774283180836997,2.6583371250499255e-05
2040-04-27,13.805555555555555,0.37685981336247965,0.3768875226679252,2.770930544554462e-05
2040-05-04,13.825,0.3763186712007257,0.37634750212692214,2.883092619643257e-05
2040-05-11,13.844444444444445,0.37577830729303086,0.37580825535041684,2.9948057385986715e-05
2040-05-18,13.863888888888889,0.37523872070455355,0.3752697812297266,3.106052517304336e-05
2040-05-25,13.883333333333333,0.3746999104997816,0.374732078657757,3.216815797540962e-05
2040-06-01,13.902777777777779,0.37416187574254683,0.37419514652900016,3.3270786453321044e-05
2040-06-08,13.922222222222222,0.3736246154960401,0.3736589837395322,3.43682434921222e-05
2040-06-15,13.941666666666666,0.37308812882282627,0.3731235891870109,3.546036418461407e-05
2040-06-22,13.96111111111111,0.37255241478485784,0.3725889617706734,3.654698581556648e-05
2040-06-29,13.980555555555556,0.37201747244349004,0.3720551003913343,3.762794784428758e-05
2040-07-06,14.0,0.3714833008594953,0.3715220039513832,3.8703091887859475e-05
2040-07-13,14.019444444444444,0.3709498990930771,0.3709896713547821,3.977226170504e-05
2040-07-20,14.03888888888889,0.3704172662038842,0.37045810150706365,4.083530317944284e-05
2040-07-27,14.058333333333334,0.3698854012510254,0.36992729331532875,4.189206430332826e-05
2040-08-03,14.077777777777778,0.36935430329308266,0.3693972456882441,4.2942395161449376e-05
2040-08-10,14.097222222222221,0.3688239713881256,0.36886795753604024,4.3986147914620854e-05
2040-08-17,14.116666666666667,0.36829440459372537,0.36833942777050904,4.502317678367618e-05
2040-08-24,14.136111111111111,0.36776560196696834,0.3678116553050017,4.605333803336942e-05
2040-08-31,14.155555555555555,0.3672375625644695,0.3672846390544265,4.7076489956998646e-05
2040-09-07,14.175,0.36671028544238665,0.36675837793524624,4.8092492859586056e-05
2040-09-14,14.194444444444445,0.36618376965643346,0.3662328708654765,4.910120904305648e-05
2040-09-21,14.213888888888889,0.3656580142618931,0.36570811676468307,5.0102502789972636e-05
2040-09-28,14.233333333333333,0.36513301831363176,0.36518411455397976,5.1096240347991984e-05
2040-10-05,14.252777777777778,0.36460878086611165,0.3646608631560264,5.208228991476771e-05
2040-10-12,14.272222222222222,0.36408530097340425,0.3641383614950263,5.306052162207253e-05
2040-10-19,14.291666666666666,0.3635625776892035,0.36361660849672467,5.403080752114375e-05
2040-10-26,14.311111111111112,0.3630406100668394,0.36309560308840516,5.4993021565752365e-05
2040-11-02,14.330555555555556,0.3625193971592896,0.3625753441988892,5.594703959960201e-05
2040-11-09,14.35,0.36199893801919375,0.3620558307585327,5.6892739338954e-05
2040-11-16,14.369444444444444,0.36147923169886503,0.3615370616992243,5.783000035924912e-05
2040-11-23,14.38888888888889,0.3609602772503043,0.36101903595438284,5.8758704078565316e-05
2040-11-30,14.408333333333333,0.36044207372521114,0.3605017524589558,5.9678733744683576e-05
2040-12-07,14.427777777777777,0.35992462017499777,0.35998521014941653,6.058997441876768e-05
2040-12-14,14.447222222222223,0.3594079156508007,0.35946940796376203,6.149231296131985e-05
2040-12-21,14.466666666666667,0.3588919592034934,0.3589543448415115,6.238563801808095e-05
2040-12-28,14.48611111111111,0.3583767498836986,0.35844001972370304,6.326984000443181e-05
2041-01-04,14.505555555555556,0.3578622867418007,0.3579264315528925,6.414481109179304e-05
2041-01-11,14.525,0.3573485688279574,0.3574135792731506,6.50104451931921e-05
2041-01-18,14.544444444444444,0.3568355951921126,0.35690146183006144,6.586663794883041e-05
2041-01-25,14.563888888888888,0.3563233648840077,0.3563900781707194,6.671328671170595e-05
2041-02-01,14.583333333333334,0.3558118769531936,0.35587942724372795,6.755029053434614e-05
2041-02-08,14.602777777777778,0.3553011304490433,0.3553695079991969,6.83775501535977e-05
2041-02-15,14.622222222222222,0.35479112442076255,0.3548603193887403,6.919496797774816e-05
2041-02-22,14.641666666666667,0.3542818579174023,0.3543518603654744,7.000244807209288e-05
2041-03-01,14.661111111111111,0.35377332998787026,0.3538441298840156,7.079989614533488e-05
2041-03-08,14.680555555555555,0.3532655396809421,0.353337126900478,7.158721953592906e-05
2041-03-15,14.7,0.35275848604527327,0.3528308503724716,7.236432719831543e-05
2041-03-22,14.719444444444445,0.35225216812941,0.3523252992590998,7.313112968976299e-05
2041-03-29,14.738888888888889,0.35174658498180106,0.3518204725209575,7.388753915643642e-05
2041-04-05,14.758333333333333,0.35124173565080874,0.35131636912012904,7.463346932029546e-05
2041-04-12,14.777777777777779,0.35073761918472,0.3508129880201856,7.536883546560569e-05
2041-04-19,14.797222222222222,0.3502342346317576,0.35031032818618396,7.609355442633747e-05
2041-04-26,14.816666666666666,0.3497315810400914,0.34980838858466323,7.680754457184413e-05
2041-05-03,14.83611111111111,0.3492296574578485,0.3493071681836437,7.751072579520457e-05
2041-05-10,14.855555555555556,0.34872846293312504,0.348806665952624,7.820301949895692e-05
2041-05-17,14.875,0.34822799651399633,0.34830688086257955,7.888434858321913e-05
2041-05-24,14.894444444444444,0.34772825724852796,0.34780781188596016,7.955463743219982e-05
2041-05-31,14.91388888888889,0.3472292441847864,0.3473094579966879,8.021381190148613e-05
2041-06-07,14.933333333333334,0.3467309563708491,0.34681181817015505,8.08617993059424e-05
2041-06-14,14.952777777777778,0.3462333928548157,0.3463148913832221,8.149852840638738e-05
2041-06-21,14.972222222222221,0.34573655268481773,0.34581867661421534,8.212392939760393e-05
2041-06-28,14.991666666666667,0.3452404349090298,0.34532317284292513,8.273793389534934e-05
2041-07-05,15.011111111111111,0.34474503857567906,0.3448283790506036,8.334047492453145e-05
2041-07-12,15.030555555555555,0.3442503627330556,0.34433429421996253,8.393148690694074e-05
2041-07-19,15.05,0.3437564064295232,0.34384091733517125,8.451090564803865e-05
2041-07-26,15.069444444444445,0.3432631687135287,0.3433482473818549,8.507866832618838e-05
2041-08-02,15.088888888888889,0.3427706486336121,0.3428562833470918,8.563471347966534e-05
2041-08-09,15.108333333333333,0.34227884523841684,0.3423650242194115,8.61789809946667e-05
2041-08-16,15.127777777777778,0.34178775757669905,0.3418744689887933,8.67114120942647e-05
2041-08-23,15.147222222222222,0.3412973846973383,0.3413846166466633,8.723194932502842e-05
2041-08-30,15.166666666666666,0.340807725649346,0.34089546618589284,8.77405365468098e-05
2041-09-06,15.186111111111112,0.34031877948187633,0.3404070166007963,8.823711891997599e-05
2041-09-13,15.205555555555556,0.33983054524423495,0.33991926688712915,8.872164289419615e-05
2041-09-20,15.225,0.33934302198588867,0.33943221604208573,8.919405619706167e-05
2041-09-27,15.244444444444444,0.3388562087564753,0.3389471757412821,9.09669848067618e-05
2041-10-04,15.26388888888889,0.3383701046058126,0.3384628285511564,9.272394534376449e-05
2041-10-11,15.283333333333333,0.3378847085839076,0.3379791734812706,9.446489736297803e-05
2041-10-18,15.302777777777777,0.33740001974096606,0.3374962095426019,9.618980163583757e-05
2041-10-25,15.322222222222223,0.3369160371274012,0.3370139357475407,9.789862013948047e-05
2041-11-01,15.341666666666667,0.3364327597938435,0.3365323511098888,9.959131604531102e-05
2041-11-08,15.36111111111111,0.3359501867911492,0.3360514546448572,0.00010126785370800917
2041-11-15,15.380555555555556,0.335468317170409,0.33557124536906396,0.00010292819865498348
2041-11-22,15.4,0.33498714998295787,0.33509172230053264,0.00010457231757476926
2041-11-29,15.419444444444444,0.33450668428038305,0.33461288445869,0.00010620017830692552
2041-12-06,15.438888888888888,0.33402691911453325,0.33413473086436385,0.00010781174983059971
2041-12-13,15.458333333333334,0.3335478535375268,0.33365726053978123,0.00010940700225442468
2041-12-20,15.477777777777778,0.33306948660176133,0.3331804725085666,0.00011098590680524989
2041-12-27,15.497222222222222,0.3325918173599211,0.33270436579573925,0.00011254843581814944
2042-01-03,15.516666666666667,0.33211484486498655,0.3322289394277122,0.00011409456272565288
2042-01-10,15.536111111111111,0.33163856817024184,0.3317541924322894,0.00011562426204753118
2042-01-17,15.555555555555555,0.331162986329284,0.331280123838664,0.00011713750938002754
2042-01-24,15.575,0.3306880983960307,0.33080673267741645,0.00011863428138575438
2042-01-31,15.594444444444445,0.33021390342472867,0.33033401798051254,0.00012011455578386787
2042-02-07,15.613888888888889,0.32974040046996206,0.32986197878130147,0.00012157831133940977
2042-02-14,15.633333333333333,0.32926758858666033,0.3293906141145136,0.00012302552785325993
2042-02-21,15.652777777777779,0.3287954668301063,0.32891992301625844,0.00012445618615214427
2042-02-28,15.672222222222222,0.3283240342559445,0.32844990452402334,0.0001258702680788648
2042-03-07,15.691666666666666,0.32785328992018814,0.3279805576766707,0.00012726775648258526
2042-03-14,15.71111111111111,0.32738323287922855,0.32751188151443655,0.0001286486352080063
