start_date,end_date,start_act360_years,true_forward_rate,recovered_forward_rate,error_bp
2044-09-23,2044-10-21,18.27777777777778,0.07366447953108272,0.07375345687572064,0.889773446379194
2044-09-30,2044-10-28,18.29722222222222,0.07366168160962536,0.07375345687572349,0.9177526609813191
2044-10-07,2044-11-04,18.316666666666666,0.07365888221279672,0.07375345687572349,0.9457466292676908
2044-10-14,2044-11-11,18.336111111111112,0.07365608139277795,0.07375345687572349,0.9737548294554144
2044-10-21,2044-11-18,18.355555555555554,0.07365327920141043,0.07375345687572349,1.0017767431305669
2044-10-28,2044-11-25,18.375,0.0736504756901844,0.07375345687572349,1.0298118553908608
2044-11-04,2044-12-02,18.394444444444446,0.07364767091027323,0.07375345687572064,1.0578596544741359
2044-11-11,2044-12-09,18.413888888888888,0.07364486491251336,0.07375345687572064,1.0859196320728293
2044-11-18,2044-12-16,18.433333333333334,0.07364205774740157,0.07375345687572349,1.1139912832192067
2044-11-25,2044-12-23,18.45277777777778,0.07363924946510629,0.07375345687572064,1.1420741061435313
2044-12-02,2044-12-30,18.47222222222222,0.07363644011547908,0.07375345687572349,1.1701676024440666
2044-12-09,2045-01-06,18.491666666666667,0.0736336297480289,0.07375345687572349,1.1982712769459392
2044-12-16,2045-01-13,18.511111111111113,0.07363081841195067,0.07375345687571778,1.226384637671163
2044-12-23,2045-01-20,18.530555555555555,0.07362800615611675,0.07375345687572064,1.2545071960388954
2044-12-30,2045-01-27,18.55,0.07362519302905403,0.07375345687571778,1.2826384666375645
2045-01-06,2045-02-03,18.569444444444443,0.07362237907900676,0.07375345687572349,1.310777967167276
2045-01-13,2045-02-10,18.58888888888889,0.07361956435384524,0.07375345687572635,1.3389252188110434
2045-01-20,2045-02-17,18.608333333333334,0.07361674890116568,0.07375345687571778,1.3670797455210548
2045-01-27,2045-02-24,18.627777777777776,0.07361393276824739,0.07375345687572635,1.3952410747895827
2045-02-03,2045-03-03,18.647222222222222,0.07361111600201856,0.07375345687572064,1.423408737020876
2045-02-10,2045-03-10,18.666666666666668,0.07360829864912187,0.07375345687571778,1.4515822659591504
2045-02-17,2045-03-17,18.68611111111111,0.07360548075588026,0.07375345687572349,1.4797611984322667
2045-02-24,2045-03-24,18.705555555555556,0.07360266236829695,0.07375345687572349,1.50794507426541
2045-03-03,2045-03-31,18.725,0.07359984353205538,0.07375345687572349,1.5361334366810475
2045-03-10,2045-04-07,18.744444444444444,0.0735970242925678,0.07375345687572635,1.5643258315854724
2045-03-17,2045-04-14,18.76388888888889,0.07359420469489246,0.07375345687572064,1.5925218082818438
2045-03-24,2045-04-21,18.783333333333335,0.07359138478381638,0.07375345687572064,1.620720919042612
2045-03-31,2045-04-28,18.802777777777777,0.07358856460380402,0.07375345687572064,1.6489227191662792
2045-04-07,2045-05-05,18.822222222222223,0.07358574419901144,0.07375345687571778,1.6771267670634415
2045-04-14,2045-05-12,18.841666666666665,0.073582923613315,0.07375345687572349,1.7053326240848432
2045-04-21,2045-05-19,18.86111111111111,0.07358010289025417,0.07375345687572349,1.7335398546931835
2045-04-28,2045-05-26,18.880555555555556,0.0735772820730886,0.07375345687572349,1.7617480263489027
2045-05-05,2045-06-02,18.9,0.07357446120479537,0.07375345687572349,1.7899567092811985
2045-05-12,2045-06-09,18.919444444444444,0.0735716403280232,0.07375345687572064,1.8181654769744426
2045-05-19,2045-06-16,18.93888888888889,0.07356881948514106,0.07375345687572064,1.8463739057958395
2045-05-26,2045-06-23,18.958333333333332,0.07356599871822672,0.07375345687572349,1.8745815749676709
2045-06-02,2045-06-30,18.977777777777778,0.07356317806905249,0.07375345687572349,1.9027880667099595
2045-06-09,2045-07-07,18.997222222222224,0.07356035757909948,0.07375345687572064,1.9309929662116032
2045-06-16,2045-07-14,19.016666666666666,0.07355753728956614,0.07375345687572635,1.9591958616020644
2045-06-23,2045-07-21,19.03611111111111,0.07355471724136546,0.07375345687571778,1.98739634352324
2045-06-30,2045-07-28,19.055555555555557,0.07355189747510213,0.07375345687572064,2.015594006185145
2045-07-07,2045-08-04,19.075,0.07354907803112098,0.07375345687572635,2.0437884460536293
2045-07-14,2045-08-11,19.094444444444445,0.07354625894945288,0.07375345687572064,2.0719792626776314
2045-07-21,2045-08-18,19.113888888888887,0.073543440269866,0.07375345687572349,2.100166058574826
2045-07-28,2045-08-25,19.133333333333333,0.07354062203182592,0.07375345687572349,2.128348438975719
2045-08-04,2045-09-01,19.15277777777778,0.073537804274527,0.07375345687571778,2.156526011907883
2045-08-11,2045-09-08,19.17222222222222,0.07353498703690667,0.07375345687572064,2.184698388139755
2045-08-18,2045-09-15,19.191666666666666,0.07353217035756833,0.07375345687572349,2.212865181551588
2045-08-25,2045-09-22,19.211111111111112,0.07352935427488985,0.07375345687572064,2.2410260083079168
2045-09-01,2045-09-29,19.230555555555554,0.07352653882694936,0.07375345687572635,2.26918048776989
2045-09-08,2045-10-06,19.25,0.07352372405153945,0.07375345687572349,2.2973282418403684
2045-09-15,2045-10-13,19.269444444444446,0.0735209099861987,0.07375345687572064,2.325468895219424
2045-09-22,2045-10-20,19.288888888888888,0.07351809666818587,0.07375345687572064,2.3536020753477107
2045-09-29,2045-10-27,19.308333333333334,0.07351528413447708,0.07375345687572064,2.3817274124356134
