scenario,reference_date,method,bump_bp,shock_index,shock_tenor,node_index,node_tenor,node_date,maturity_distance,central_sensitivity_bp_per_bp,curvature_bp_per_bp2
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,13,20Y,2046-09-20,12,-4.022229931066601e-05,6.542447139601393e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,1,2M,14,30Y,2056-09-20,13,-2.747125540936146e-05,4.3697268026221536e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,0,1M,2026-10-21,-2,1.2212453270876722e-11,0.0
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,1,2M,2026-11-20,-1,-9.645062526431047e-12,-9.645062526431047e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,2,3M,2026-12-22,0,1.0955825396453955,1.5614223525250992e-05
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,3,6M,2027-03-22,1,-0.03334438719818089,3.5558567201832147e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,4,9M,2027-06-22,2,-0.003518519113843155,2.340693194824439e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,5,1Y,2027-09-22,3,-0.0032237948525276616,1.7568506371912207e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,6,2Y,2028-09-20,4,-0.0015490581641713908,8.831431419498159e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,7,3Y,2029-09-20,5,-0.0010112612770785123,5.891373500155339e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,8,4Y,2030-09-20,6,-0.0007516530587531323,4.420218358003325e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,9,5Y,2031-09-22,7,-0.0005998367905157842,3.533440207093008e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,10,7Y,2033-09-21,8,-0.0004325144456474028,2.526673315017547e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,11,10Y,2036-09-22,9,-0.00030976151421668874,1.7701978771711424e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,12,15Y,2041-09-20,10,-0.0002137838811533399,1.182245967790152e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,13,20Y,2046-09-20,11,-0.00016381474822468878,8.870862377996502e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,2,3M,14,30Y,2056-09-20,12,-0.00011164628548054889,5.925440693665962e-08
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,0,1M,2026-10-21,-3,4.884981308350689e-11,2.4424906541753444e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,1,2M,2026-11-20,-2,3.5388358909926865e-11,-3.219646771412954e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,2,3M,2026-12-22,-1,1.5057399771478686e-11,-4.704570066849101e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,3,6M,2027-03-22,0,1.0279303596240352,2.169592699940992e-05
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,4,9M,2027-06-22,1,-0.04433921348280523,5.2175681830579634e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,5,1Y,2027-09-22,2,-0.008480254473156035,3.563969536157785e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,6,2Y,2028-09-20,3,-0.004361240041883541,1.7922732742370329e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,7,3Y,2029-09-20,4,-0.0028456346027466717,1.1945276712221897e-06
