scenario,reference_date,method,shock_index,shock_tenor,shock_pillar_date,shock_pillar_years,weighted_center_years,center_offset_from_shock_years,weighted_spread_years,rms_distance_from_shock_years,sensitivity_mass_within_1y,sensitivity_mass_within_2y,observation_count
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,0,1M,2026-10-21,0.09166666666666666,1.1843691055398022,1.0927024388731357,2.4460262537377555,2.6790003833321223,0.72320259195761,0.8650535419763516,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,1,2M,2026-11-20,0.175,1.3637098740731628,1.1887098740731628,2.587563834577851,2.847545919337257,0.7001229980713648,0.854414266049471,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,2,3M,2026-12-22,0.2638888888888889,1.49460572526253,1.2307168363736412,2.686253515406672,2.954762575972602,0.6893266722112525,0.8492569338412037,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,3,6M,2027-03-22,0.5138888888888888,1.934960808052657,1.4210719191637682,3.0149759700574963,3.333095483099747,0.5980791825406097,0.8054331799210781,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,4,9M,2027-06-22,0.7694444444444445,2.505337014288357,1.7358925698439127,3.3919623522979863,3.8103453404443792,0.5309930915889494,0.7692442098960133,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,5,1Y,2027-09-22,1.025,2.8532314447389835,1.8282314447389836,3.6000977928974023,4.037713998533965,0.5840879146076234,0.7877002738627549,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,6,2Y,2028-09-20,2.036111111111111,4.029634283424232,1.9935231723131213,4.3919727853409825,4.8232312390891225,0.6287612859658775,0.7766476154472786,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,7,3Y,2029-09-20,3.05,5.997257390585217,2.947257390585217,5.495437063320236,6.235876413405972,0.5190403273193098,0.6674803916944153,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,8,4Y,2030-09-20,4.063888888888889,8.56646595243205,4.5025770635431615,6.376390832584529,7.805867041079612,0.35623580350308803,0.48425715626983107,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,9,5Y,2031-09-22,5.083333333333333,10.530962491096863,5.44762915776353,6.655542684705948,8.60075065726581,0.22123832208956165,0.42068586681535847,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,10,7Y,2033-09-21,7.111111111111111,13.096990822779732,5.9858797116686215,6.7449766761828025,9.01806333337796,0.12956358261508377,0.30818066673228867,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,11,10Y,2036-09-22,10.158333333333333,15.99297229335417,5.834638960020836,6.550349073253648,8.772119742415052,0.0961029638860816,0.21713982105535068,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,12,15Y,2041-09-20,15.225,20.380920328257027,5.155920328257027,5.938583314903639,7.864495293366633,0.0395424111112069,0.13466144097359958,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,13,20Y,2046-09-20,20.29722222222222,23.996010498669953,3.6987882764477327,5.171909652397759,6.358434097051908,0.09119041280263113,0.1706085443352071,1562
FTIIE_KNOWN_TRUTH_V1,2026-09-18,CUBIC_CONTINUOUS_ZERO,14,30Y,2056-09-20,30.444444444444443,26.261643561447222,-4.1828008829972205,3.0879445642351664,5.199156167936472,0.1425490881692019,0.29034212262038983,1562
