start_date,end_date,start_act360_years,forward_period_days,true_forward_rate,log_linear_forward_rate,linear_continuous_zero_forward_rate,cubic_continuous_zero_forward_rate,log_linear_error_bp,linear_continuous_zero_error_bp,cubic_continuous_zero_error_bp
2043-02-06,2043-03-06,16.625,28,0.07389053507691067,0.07375345687572635,0.07351274704932655,0.07389747443501024,-1.3707820118431802,-3.7778802758411945,0.06939358099575244
2043-02-13,2043-03-13,16.644444444444446,28,0.07388809232670283,0.07375345687572635,0.07351771902117792,0.07389470209575778,-1.3463545097648633,-3.703733055249181,0.06609769054949366
2043-02-20,2043-03-20,16.663888888888888,28,0.07388564228137337,0.07375345687572635,0.07352269099494776,0.07389192320281916,-1.3218540564702286,-3.629512864256057,0.06280921445792065
2043-02-27,2043-03-27,16.683333333333334,28,0.07388318502706191,0.07375345687573207,0.07352766297061894,0.07388913786460481,-1.2972815132984705,-3.555220564429723,0.05952837542899658
2043-03-06,2043-04-03,16.70277777777778,28,0.07388072064944565,0.07375345687572635,0.07353263494820572,0.07388634618958509,-1.2726377371929942,-3.480857012399252,0.056255401394422755
2043-03-13,2043-04-10,16.72222222222222,28,0.0738782492337764,0.0737534568757292,0.07353760692771097,0.07388354828619326,-1.247923580471877,-3.406423060654251,0.05299052416862793
2043-03-20,2043-04-17,16.741666666666667,28,0.07387577086480634,0.07375345687572635,0.07354257890912042,0.07388074426285687,-1.2231398907999735,-3.3319195568592974,0.049733980505284325
2043-03-27,2043-04-24,16.761111111111113,28,0.0738732856268395,0.07375345687572349,0.07354755089244261,0.07387793422805203,-1.198287511160051,-3.2573473439688474,0.04648601212534076
2043-04-03,2043-05-01,16.780555555555555,28,0.0738707936037459,0.0737534568757292,0.07355252287768327,0.073875118290192,-1.1733672801669814,-3.1827072606263607,0.04324686446094406
2043-04-10,2043-05-08,16.8,28,0.07386829487890458,0.0737534568757292,0.07355749486483099,0.07387229655773288,-1.1483800317536874,-3.1080001407358946,0.04001678828302602
