date,act360_years,true_discount_factor,log_linear_discount_factor,linear_continuous_zero_discount_factor,log_linear_error,linear_continuous_zero_error
2042-09-19,16.23611111111111,0.3149480538785902,0.31510767443883436,0.3150938491796728,0.00015962056024415583,0.0001457953010826074
2042-09-26,16.255555555555556,0.3144968597535861,0.3146573933106093,0.3146457023954551,0.00016053355702322358,0.00014884264186898477
2042-10-03,16.275,0.31404632575601443,0.3142077556230583,0.31419816279137014,0.00016142986704387186,0.00015183703535570636
2042-10-10,16.294444444444444,0.31359645095694616,0.3137587604567204,0.3137512295897694,0.00016230949977424913,0.00015477863282326032
2042-10-17,16.31388888888889,0.3131472344280438,0.3133104068934486,0.3133049020139359,0.0001631724654047595,0.00015766758589208507
2042-10-24,16.333333333333332,0.31269867524156786,0.31286269401640787,0.31285917928808316,0.00016401877484001348,0.00016050404651529737
2042-10-31,16.352777777777778,0.31225077247038274,0.3124156209100733,0.31241406063735355,0.00016484843969055696,0.00016328816697080972
2042-11-07,16.372222222222224,0.311803525187963,0.3119691866602282,0.3119695452878182,0.00016566147226521055,0.00016602009985516863
2042-11-14,16.391666666666666,0.31135693246839896,0.31152339035396254,0.3115256324664754,0.00016645788556357566,0.0001686999980764492
2042-11-21,16.41111111111111,0.31091099338640193,0.31107823107967036,0.3110823214012495,0.0001672376932684294,0.00017132801484753823
2042-11-28,16.430555555555557,0.31046570701731124,0.31063370792704875,0.31063961132099044,0.00016800090973750903,0.0001739043036791954
2042-12-05,16.45,0.3100210724370992,0.31018981998709555,0.31019750145547215,0.0001687475499963509,0.00017642901837294778
2042-12-12,16.469444444444445,0.3095770887223764,0.30974656635210723,0.30975599103539175,0.000169477629730852,0.00017890231301537218
2042-12-19,16.488888888888887,0.30913375495039846,0.30930394611567785,0.3093150792923687,0.0001701911652793875,0.00018132434197021263
2042-12-26,16.508333333333333,0.30869107019907044,0.30886195837269614,0.3088747654589432,0.00017088817362570508,0.00018369525987277369
2043-01-02,16.52777777777778,0.308249033546953,0.30842060221934464,0.30843504876857636,0.0001715686723916532,0.00018601522162337014
2043-01-09,16.54722222222222,0.30780764407326794,0.3079798767530973,0.3079959284556477,0.00017223267982935386,0.00018828438237977752
2043-01-16,16.566666666666666,0.30736690085790286,0.3075397810727177,0.3075574037554552,0.00017288021481481897,0.00019050289755234706
2043-01-23,16.586111111111112,0.30692680298141767,0.30710031427825724,0.30711947390421374,0.000173511296839568,0.00019267092279606768
2043-01-30,16.605555555555554,0.3064873495250489,0.3066614754710536,0.30668213813905476,0.00017412594600468845,0.00019478861400584746
