start_date,end_date,start_act360_years,true_forward_rate,log_linear_forward_rate,linear_continuous_zero_forward_rate,log_linear_error_bp,linear_continuous_zero_error_bp
2042-06-13,2042-07-11,15.963888888888889,0.07396860155114997,0.07375345687572349,0.07334370114381285,-2.151446754264791,-6.2490040733712
2042-06-20,2042-07-18,15.983333333333333,0.07396646149790678,0.07375345687572349,0.07334867305065622,-2.1300462218329375,-6.1778844725056405
2042-06-27,2042-07-25,16.002777777777776,0.07396431093440237,0.07375345687572635,0.07335364495942377,-2.108540586760188,-6.106659749785942
2042-07-04,2042-08-01,16.022222222222222,0.07396214996340308,0.07375345687572635,0.07335861687010123,-2.0869308767673678,-6.035330933018557
2042-07-11,2042-08-08,16.041666666666668,0.07395997868717284,0.07375345687571778,0.07336358878268287,-2.065218114550571,-5.963899044899717
2042-07-18,2042-08-15,16.06111111111111,0.07395779720746168,0.07375345687572064,0.07336856069719154,-2.0434033174103474,-5.892365102701386
2042-07-25,2042-08-22,16.080555555555556,0.07395560562549434,0.07375345687572064,0.0733735326136044,-2.0214874977370068,-5.8207301188994975
2042-08-01,2042-08-29,16.1,0.0739534040420017,0.07375345687572064,0.07337850453192717,-1.9994716628105036,-5.7489951007452795
2042-08-08,2042-09-05,16.119444444444444,0.07395119255721783,0.07375345687572349,0.07338347645216553,-1.9773568149433762,-5.677161050522961
2042-08-15,2042-09-12,16.13888888888889,0.07394897127084013,0.07375345687572064,0.07338844837430811,-1.9551439511948654,-5.60522896532023
2042-08-22,2042-09-19,16.158333333333335,0.07394674028209496,0.07375345687572064,0.07339342029836628,-1.9328340637431163,-5.533199837286784
2042-08-29,2042-09-26,16.177777777777777,0.07394449968967479,0.07375345687572064,0.07339839222434007,-1.9104281395414258,-5.461074653347192
2042-09-05,2042-10-03,16.197222222222223,0.07394224959179249,0.07375345687572064,0.0734033641522209,-1.8879271607184778,-5.388854395715903
2042-09-12,2042-10-10,16.216666666666665,0.07393999008615275,0.07375345687572349,0.07340833608202019,-1.8653321042925997,-5.316540041325618
2042-09-19,2042-10-17,16.23611111111111,0.07393772126994927,0.07375345687572349,0.07341330801372939,-1.8426439422578045,-5.2441325621988
2042-09-26,2042-10-24,16.255555555555556,0.07393544323991609,0.07375345687572349,0.07341827994733993,-1.8198636419260172,-5.171632925761588
2042-10-03,2042-10-31,16.275,0.07393315609225054,0.07375345687572064,0.07342325188287178,-1.7969921652989662,-5.099042093787559
2042-10-10,2042-11-07,16.294444444444444,0.07393085992267892,0.07375345687572349,0.07342822382031639,-1.7740304695543219,-5.026361023625359
2042-10-17,2042-11-14,16.31388888888889,0.07392855482642219,0.07375345687572064,0.07343319575966234,-1.7509795070154432,-4.953590667598484
2042-10-24,2042-11-21,16.333333333333332,0.07392624089822743,0.07375345687572349,0.07343816770093531,-1.7278402250393843,-4.880731972921187
2042-10-31,2042-11-28,16.352777777777778,0.07392391823233067,0.07375345687572635,0.07344313964411248,-1.7046135660432615,-4.8077858821819754
2042-11-07,2042-12-05,16.372222222222224,0.0739215869224912,0.07375345687572064,0.0734481115891967,-1.681300467705621,-4.734753332945041
2042-11-14,2042-12-12,16.391666666666666,0.07391924706200298,0.07375345687572349,0.07345308353620222,-1.6579018627949083,-4.661635258007557
2042-11-21,2042-12-19,16.41111111111111,0.07391689874361466,0.07375345687571778,0.07345805548510624,-1.6344186789687964,-4.5884325850842345
2042-11-28,2042-12-26,16.430555555555557,0.07391454205964955,0.07375345687571778,0.07346302743593729,-1.6108518393176396,-4.515146237122625
2042-12-05,2043-01-02,16.45,0.07391217710193418,0.07375345687572349,0.07346799938866967,-1.5872022621069015,-4.441777132645069
2042-12-12,2043-01-09,16.469444444444445,0.07390980396178407,0.07375345687572064,0.07347297134331766,-1.563470860634214,-4.368326184664012
2042-12-19,2043-01-16,16.488888888888887,0.07390742273009224,0.07375345687572349,0.07347794329988126,-1.5396585436874832,-4.294794302109745
2042-12-26,2043-01-23,16.508333333333333,0.07390503349721783,0.07375345687572635,0.07348291525835192,-1.5157662149148377,-4.221182388659122
2043-01-02,2043-01-30,16.52777777777778,0.0739026363530718,0.07375345687572064,0.07348788721873532,-1.4917947735115789,-4.147491343364784
2043-01-09,2043-02-06,16.54722222222222,0.07390023138709687,0.07375345687572064,0.07349285918103148,-1.4677451137622144,-4.073722060653901
2043-01-16,2043-02-13,16.566666666666666,0.07389781868823901,0.07375345687572064,0.07349783114523754,-1.4436181251836766,-3.9998754300146766
2043-01-23,2043-02-20,16.586111111111112,0.07389539834498463,0.07375345687571778,0.0735028031113478,-1.4194146926684026,-3.925952336368277
2043-01-30,2043-02-27,16.605555555555554,0.07389297044535757,0.07375345687572349,0.07350777507938222,-1.395135696340838,-3.851953659753521
2043-02-06,2043-03-06,16.625,0.07389053507691067,0.07375345687572635,0.07351274704932369,-1.3707820118431802,-3.7778802758697827
2043-02-13,2043-03-13,16.644444444444446,0.07388809232670283,0.07375345687572349,0.07351771902117507,-1.3463545097934515,-3.70373305527763
2043-02-20,2043-03-20,16.663888888888888,0.07388564228137337,0.07375345687572064,0.07352269099494205,-1.3218540565272663,-3.6295128643132335
2043-02-27,2043-03-27,16.683333333333334,0.07388318502706191,0.07375345687572349,0.07352766297061894,-1.2972815133842353,-3.555220564429723
2043-03-06,2043-04-03,16.70277777777778,0.07388072064944565,0.07375345687572064,0.07353263494820286,-1.272637737250032,-3.4808570124278404
2043-03-13,2043-04-10,16.72222222222222,0.0738782492337764,0.07375345687572064,0.07353760692771097,-1.2479235805575029,-3.406423060654251
2043-03-20,2043-04-17,16.741666666666667,0.07387577086480634,0.07375345687572349,0.07354257890912042,-1.2231398908285618,-3.3319195568592974
2043-03-27,2043-04-24,16.761111111111113,0.0738732856268395,0.07375345687572064,0.07354755089244261,-1.1982875111885005,-3.2573473439688474
2043-04-03,2043-05-01,16.780555555555555,0.0738707936037459,0.07375345687572349,0.07355252287768613,-1.173367280224158,-3.1827072605977724
2043-04-10,2043-05-08,16.8,0.07386829487890458,0.07375345687572064,0.07355749486482527,-1.1483800318393134,-3.108000140793071
2043-04-17,2043-05-15,16.819444444444443,0.07386578953526916,0.07375345687572349,0.07356246685388859,-1.1233265954567473,-3.033226813805717
2043-04-24,2043-05-22,16.83888888888889,0.07386327765533368,0.07375345687572064,0.07356743884486182,-1.0982077961303738,-2.9583881047186287
2043-05-01,2043-05-29,16.858333333333334,0.07386075932112966,0.07375345687572064,0.07357241083773923,-1.0730244540901879,-2.883484833904326
