date,act360_years,true_discount_factor,log_linear_discount_factor,linear_continuous_zero_discount_factor,cubic_continuous_zero_discount_factor,log_linear_error,linear_continuous_zero_error,cubic_continuous_zero_error
2035-06-01,8.827777777777778,0.5433389280275452,0.542964291478547,0.5434111700042756,0.5433520373858867,-0.00037463654899827503,7.224197673039168e-05,1.3109358341423238e-05
2035-06-08,8.847222222222221,0.5425732126035557,0.5422019501546198,0.5426461111872731,0.5425862464207686,-0.0003712624489359273,7.289858371739566e-05,1.3033817212848575e-05
2035-06-15,8.866666666666667,0.5418084359474789,0.5414406791852321,0.5418819734538555,0.541821384746155,-0.00036775676224676257,7.353750637661971e-05,1.2948798676193363e-05
2035-06-22,8.886111111111111,0.541044597992417,0.5406804770675677,0.5411187559467211,0.5410574523814472,-0.00036412092484927605,7.415795430409933e-05,1.2854389030203528e-05
2035-06-29,8.905555555555555,0.5402816986651945,0.5399213423009207,0.5403564578089813,0.5402944493488174,-0.0003603563642737839,7.475914378685111e-05,1.275068362294185e-05
2035-07-06,8.925,0.5395197378863692,0.5391632733866917,0.5395950781841606,0.5395323756731718,-0.00035646449967752236,7.534029779143747e-05,1.2637786802605078e-05
2035-07-13,8.944444444444445,0.5387587155702468,0.5384062688283858,0.538834616216198,0.5387712313821149,-0.0003524467418609678,7.590064595119905e-05,1.2515811868119009e-05
2035-07-20,8.963888888888889,0.537998631624894,0.5376503271316094,0.538075071049446,0.5380110165059133,-0.00034830449328460134,7.643942455193287e-05,1.2384881019289473e-05
2035-07-27,8.983333333333333,0.5372394859521515,0.5368954468040665,0.5373164418286719,0.5372517310774594,-0.0003440391480850069,7.695587652034597e-05,1.2245125307841498e-05
2035-08-03,9.002777777777778,0.5364812784476493,0.5361416263555568,0.5365587276990581,0.5364933751322365,-0.00033965209209241287,7.74492514088454e-05,1.2096684587237228e-05
2035-08-10,9.022222222222222,0.5357240090008202,0.5353888642979723,0.5358019278062026,0.5357359487082829,-0.00033514470284790043,7.791880538243756e-05,1.1939707462715887e-05
2035-08-17,9.041666666666666,0.5349676774949156,0.534637159145294,0.5350460412961189,0.5349794518461565,-0.0003305183496216113,7.836380120329611e-05,1.1774351240889658e-05
2035-08-24,9.061111111111112,0.53421228380702,0.5338865094135894,0.5342910673152369,0.5342238845889,-0.0003257743934306223,7.878350821688418e-05,1.1600781880005684e-05
2035-08-31,9.080555555555556,0.5334578278080666,0.5331369136210099,0.5335370050104028,0.5334692469820058,-0.00032091418705670893,7.917720233618919e-05,1.1419173939208882e-05
2035-09-07,9.1,0.5327043093628537,0.5323883702877872,0.5327838535288801,0.5327155390733811,-0.0003159390750665514,7.95441660264018e-05,1.1229710527360659e-05
2035-09-14,9.119444444444444,0.5319517283300605,0.5316408779362304,0.5320316120183498,0.5319627609133132,-0.00031085039383016433,7.988368828926173e-05,1.1032583252634787e-05
2035-09-21,9.13888888888889,0.5312000845622631,0.5308944350907238,0.5312802796269103,0.5312109125544352,-0.00030564947153932653,8.019506464718162e-05,1.0827992172113277e-05
2035-09-28,9.158333333333333,0.5304493779059521,0.5301490402777232,0.5305298555030784,0.5304599940516923,-0.0003003376282288972,8.047759712626057e-05,1.061614574016101e-05
2035-10-05,9.177777777777777,0.5296996082015498,0.5294046920257535,0.5297803387957893,0.5297100054623065,-0.00029491617579635587,8.073059423951978e-05,1.0397260756689342e-05
2035-10-12,9.197222222222223,0.5289507752834264,0.5286613888654054,0.5290317286543975,0.5289609468457438,-0.0002893864180210093,8.095337097113742e-05,1.0171562317418115e-05
2035-10-19,9.216666666666667,0.5282028789799189,0.5279191293293327,0.5282840242286764,0.5282128182636798,-0.00028374965058619583,8.114524875746376e-05,9.939283760918016e-06
2035-10-26,9.23611111111111,0.5274559191133484,0.52717791195225,0.5275372246688195,0.5274656197799664,-0.00027800716109849244,8.130555547103402e-05,9.70066661798441e-06
2035-11-02,9.255555555555556,0.5267098955000385,0.526437735270928,0.52679132912544,0.5267193514605982,-0.00027216022911058513,8.143362540147248e-05,9.4559605596789e-06
2035-11-09,9.275,0.5259648079503341,0.5256985978241931,0.5260463367495719,0.5259740133736797,-0.00026621012614092,8.152879923783996e-05,9.205423345592934e-06
2035-11-16,9.294444444444444,0.5252206562686194,0.5249604981529227,0.5253022466926701,0.5252296055893916,-0.0002601581156966848,8.159042405075922e-05,8.949320772222435e-06
2035-11-23,9.313888888888888,0.5244774402533374,0.5242234348000425,0.5245590581066105,0.5244861281799587,-0.0002540054532949032,8.161785327309712e-05,8.687926621231412e-06
2035-11-30,9.333333333333334,0.5237351596970095,0.5234874063105245,0.5238167701436909,0.5237435812196163,-0.00024775338648497236,8.161044668142381e-05,8.42152260682738e-06
2035-12-07,9.352777777777778,0.5229938143862541,0.5227524112313836,0.5230753819566308,0.5230019647845787,-0.0002414031548705342,8.156757037669493e-05,8.150398324580088e-06
2035-12-14,9.372222222222222,0.5222534041018074,0.5220184481116745,0.5223348926985726,0.5222612789530059,-0.00023495599013290125,8.148859676515574e-05,7.874851198463872e-06
2035-12-21,9.391666666666667,0.5215139286185422,0.521285515502489,0.5215953015230806,0.5215215238049719,-0.00022841311605314996,8.137290453846813e-05,7.595186429676382e-06
2035-12-28,9.411111111111111,0.5207753877054894,0.5205536119569537,0.5208566075841435,0.5207826994224326,-0.0002217757485356575,8.121987865417069e-05,7.311716943236846e-06
2036-01-04,9.430555555555555,0.5200377811258574,0.5198227360302262,0.5201188100361724,0.5200448058891941,-0.00021504509563119445,8.102891031502857e-05,7.024763336693773e-06
2036-01-11,9.45,0.519301108637053,0.5190928862794928,0.5193819080340029,0.5193078432908808,-0.00020822235756023932,8.079939694982663e-05,6.7346538277224255e-06
2036-01-18,9.469444444444445,0.5185653699907025,0.5183640612639657,0.5186459007328942,0.5185718117149035,-0.0002013087267367375,8.053074219172007e-05,6.441724201056154e-06
2036-01-25,9.488888888888889,0.517830564932673,0.51763625954488,0.5179107872885312,0.5178367112504295,-0.00019430538779297013,8.022235585825044e-05,6.146317756527964e-06
