date,act360_years,true_zero_rate,log_linear_zero_rate,linear_continuous_zero_rate,cubic_continuous_zero_rate,log_linear_error_bp,linear_continuous_zero_error_bp,cubic_continuous_zero_error_bp
2027-03-27,0.5277777777777778,0.07483268891948557,0.0748333894130812,0.07483301757074472,0.07482860624675862,0.007004935956289593,0.003286512591516022,-0.04082672726946068
2027-04-03,0.5472222222222223,0.07473418848047439,0.07470546929491373,0.07474054830096266,0.07472801443009719,-0.28719185560660554,0.06359820488271994,-0.06174050377200091
2027-04-10,0.5666666666666667,0.07463684887616341,0.07458632800838501,0.07464807903118062,0.074629313672742,-0.5052086777840303,0.11230155017208365,-0.07535203421407677
2027-04-17,0.5861111111111111,0.07454065765954251,0.07447509183091527,0.07455560976139855,0.07453240593048396,-0.6556582862723981,0.14952101856036126,-0.08251729058550428
2027-04-24,0.6055555555555555,0.07444560252216222,0.0743709992611728,0.0744631404916165,0.07443719315911394,-0.7460326098941705,0.17537969454278768,-0.08409363048272889
2027-05-01,0.625,0.07435167129250124,0.07427338356243664,0.07437067122183444,0.0743435773144228,-0.7828773006460232,0.18999929333199383,-0.08093978078438369
2027-05-08,0.6444444444444445,0.07425885193435393,0.07418165846621044,0.07427820195205238,0.07425146035220143,-0.7719346814348549,0.19350017698455124,-0.07391582152502241
2027-05-15,0.6638888888888889,0.07416713254523767,0.07409530638817316,0.07418573268227033,0.07416074422824069,-0.7182615706451123,0.18600137032656616,-0.06388316996980281
2027-05-22,0.6833333333333333,0.07407650135481983,0.07401386865604043,0.07409326341248827,0.07407133089833147,-0.6263269877940236,0.16762057668442965,-0.05170456488359787
2027-05-29,0.7027777777777777,0.07398694672336395,0.07393693735967785,0.07400079414270622,0.07398312231826464,-0.5000936368609876,0.13847419342266631,-0.03824405099314698
2027-06-05,0.7222222222222222,0.07389845714019509,0.07386414851773486,0.07390832487292416,0.07389602044383106,-0.3430862246023292,0.09867732729068601,-0.02436696364030433
